x,y
1069,1213
1067,1214
1065,1214
1063,1214
1061,1214
1058,1215
1056,1215
1053,1215
1051,1215
1048,1215
1046,1215
1043,1216
1041,1216
1038,1216
1036,1216
1033,1216
1030,1216
1028,1216
1025,1216
1022,1216
1020,1216
1017,1216
1014,1216
1011,1216
1009,1216
1006,1217
1003,1217
1001,1217
998,1217
995,1217
993,1217
990,1217
987,1217
985,1217
982,1217
980,1218
977,1218
975,1218
972,1218
970,1218
968,1219
965,1219
963,1219
961,1219
959,1220
956,1220
954,1221
952,1221
950,1221
948,1222
946,1222
945,1223
943,1224
941,1224
940,1225
938,1225
936,1226
935,1226
933,1227
932,1227
931,1228
929,1228
928,1228
927,1228
926,1229
925,1229
924,1229
923,1229
922,1229
921,1229
920,1229
919,1228
918,1228
917,1227
917,1227
916,1226
915,1225
915,1224
914,1223
914,1222
913,1220
913,1219
912,1218
912,1216
911,1215
911,1213
910,1211
910,1210
909,1208
909,1206
908,1204
907,1203
907,1201
906,1199
906,1197
905,1195
904,1193
903,1191
903,1189
902,1187
901,1185
900,1183
899,1181
898,1179
897,1178
895,1176
894,1174
893,1172
891,1171
890,1169
888,1167
887,1166
885,1165
883,1163
881,1162
879,1161
878,1159
876,1158
874,1157
872,1156
870,1155
868,1154
866,1153
864,1153
862,1152
860,1151
858,1151
856,1151
854,1150
852,1150
850,1150
848,1150
846,1150
844,1150
843,1150
841,1151
839,1151
838,1152
836,1152
835,1153
833,1154
832,1155
831,1156
830,1157
829,1158
828,1160
827,1161
826,1162
825,1164
825,1166
824,1167
823,1169
823,1171
822,1173
822,1175
821,1177
821,1179
821,1181
820,1183
820,1185
819,1187
819,1189
819,1191
818,1192
818,1194
817,1196
817,1198
816,1200
816,1201
815,1203
814,1204
813,1206
813,1207
812,1209
811,1210
810,1211
809,1212
808,1213
806,1213
805,1214
804,1215
802,1215
800,1215
799,1216
797,1216
795,1216
794,1216
792,1216
790,1215
788,1215
786,1215
784,1214
781,1214
779,1213
777,1212
775,1212
772,1211
770,1210
767,1209
765,1208
762,1207
760,1206
757,1205
755,1204
752,1203
749,1201
747,1200
744,1199
741,1198
739,1196
736,1195
733,1193
730,1192
727,1191
725,1189
722,1188
719,1186
716,1185
713,1183
710,1182
708,1180
705,1179
702,1177
699,1176
696,1174
694,1173
691,1172
688,1170
685,1169
683,1167
680,1166
677,1164
675,1163
672,1161
669,1160
667,1159
664,1157
662,1156
659,1154
657,1153
654,1151
652,1150
650,1148
647,1147
645,1145
643,1144
641,1142
639,1140
637,1139
634,1137
633,1136
631,1134
629,1132
627,1131
625,1129
623,1127
622,1125
620,1124
619,1122
617,1120
616,1118
614,1116
613,1114
612,1112
611,1110
610,1108
609,1106
608,1104
607,1102
606,1100
606,1098
605,1096
605,1093
604,1091
604,1089
604,1087
603,1084
603,1082
603,1080
603,1077
603,1075
603,1072
603,1070
603,1068
603,1065
603,1063
604,1060
604,1058
604,1056
604,1053
604,1051
604,1049
605,1046
605,1044
605,1042
605,1040
605,1038
605,1036
605,1034
605,1032
605,1030
605,1028
605,1026
605,1024
605,1022
604,1021
604,1019
604,1018
603,1016
602,1015
602,1014
601,1012
600,1011
599,1010
598,1009
597,1008
596,1008
594,1007
593,1006
592,1005
590,1005
589,1004
587,1003
586,1003
584,1002
582,1002
581,1001
579,1001
577,1000
575,1000
574,999
572,998
570,998
568,997
566,997
564,996
563,995
561,994
559,993
557,992
555,991
554,990
552,989
550,988
549,987
547,985
546,984
544,982
543,980
541,978
540,977
538,975
537,973
536,971
535,968
533,966
532,964
531,962
530,959
529,957
528,954
527,952
526,949
525,947
524,944
523,941
522,939
521,936
521,933
520,930
519,927
518,924
518,922
517,919
516,916
516,913
515,910
515,907
514,904
514,901
513,898
513,895
513,892
512,889
512,887
511,884
511,881
511,878
511,875
510,872
510,870
510,867
510,864
510,862
509,859
509,857
509,854
509,852
509,849
509,847
509,845
509,842
509,840
509,838
509,836
510,834
510,832
510,830
510,828
510,826
511,825
511,823
511,821
512,820
512,818
513,817
513,816
514,814
514,813
515,812
516,811
517,810
517,809
518,808
519,807
520,806
521,805
522,805
523,804
524,804
526,803
527,803
528,803
529,802
530,802
531,802
533,801
534,801
535,801
536,801
537,800
538,800
539,800
539,799
540,799
541,798
541,798
542,797
542,796
542,795
542,795
542,794
542,793
541,791
541,790
541,789
540,788
539,786
539,785
538,783
537,782
536,780
535,779
534,777
533,775
532,773
531,772
530,770
529,768
528,766
527,764
526,761
525,759
524,757
522,755
521,753
520,750
519,748
518,746
517,743
516,741
515,738
514,736
514,733
513,731
512,728
511,726
511,723
510,720
510,718
509,715
509,712
509,710
509,707
508,704
508,702
508,699
508,696
508,693
508,691
508,688
508,685
508,682
509,680
509,677
509,674
510,672
510,669
510,666
511,663
511,661
512,658
512,655
513,653
514,650
514,648
515,645
516,643
516,640
517,638
518,635
519,633
520,630
521,628
522,626
523,624
523,621
524,619
525,617
527,615
528,613
529,611
530,609
531,607
532,605
533,603
534,601
535,600
537,598
538,596
539,595
540,593
541,591
543,590
544,588
545,587
547,585
548,584
549,582
551,581
552,580
553,578
555,577
556,575
557,574
559,573
560,571
562,570
563,569
565,567
566,566
567,565
569,563
570,562
572,560
573,559
575,558
576,556
578,555
580,553
581,552
583,550
584,548
586,547
587,545
589,544
591,542
592,540
594,539
595,537
597,535
599,534
600,532
602,530
604,529
605,527
607,526
609,524
610,522
612,521
614,519
615,518
617,517
619,515
620,514
622,513
624,511
626,510
627,509
629,508
631,507
633,506
634,505
636,504
638,504
640,503
642,503
643,502
645,502
647,501
649,501
651,501
653,501
655,501
656,501
658,502
660,502
662,503
664,503
666,504
667,504
669,505
671,506
673,507
675,508
677,509
678,510
680,511
682,512
684,513
685,515
687,516
689,517
690,519
