x,y
501,1076
503,1076
505,1077
507,1077
509,1077
511,1078
513,1078
515,1078
518,1079
520,1079
522,1079
524,1080
526,1080
528,1080
530,1080
533,1080
535,1081
537,1081
539,1081
541,1081
544,1081
546,1081
548,1081
550,1081
553,1081
555,1080
557,1080
560,1080
562,1080
564,1079
567,1079
569,1079
571,1078
573,1078
576,1077
578,1077
580,1076
583,1075
585,1075
587,1074
590,1073
592,1072
594,1071
597,1070
599,1069
601,1068
604,1067
606,1066
608,1065
611,1064
613,1063
615,1062
618,1060
620,1059
622,1058
624,1056
627,1055
629,1054
631,1052
633,1051
635,1049
638,1048
640,1046
642,1045
644,1043
646,1041
648,1040
650,1038
652,1036
655,1035
657,1033
659,1031
661,1030
663,1028
664,1026
666,1024
668,1023
670,1021
672,1019
674,1017
676,1015
677,1014
679,1012
681,1010
683,1008
684,1006
686,1005
687,1003
689,1001
691,999
692,997
694,995
695,994
697,992
698,990
700,988
701,986
703,985
704,983
706,981
707,979
708,978
710,976
711,974
713,972
714,971
715,969
717,967
718,965
719,964
721,962
722,961
723,959
725,957
726,956
727,954
729,953
730,951
731,949
733,948
734,946
735,945
737,944
738,942
739,941
741,939
742,938
743,937
745,935
746,934
747,933
749,932
750,930
752,929
753,928
754,927
756,926
757,925
759,924
760,923
762,922
763,921
765,920
767,919
768,918
770,917
771,917
773,916
775,915
777,914
778,914
780,913
782,913
783,912
785,911
787,911
789,910
790,910
792,909
794,909
795,908
797,907
799,907
800,906
802,906
803,905
805,904
806,904
807,903
808,902
810,901
811,901
812,900
812,899
813,898
814,897
815,896
815,895
816,893
816,892
816,891
817,890
817,888
817,887
817,886
818,884
818,883
818,881
818,880
818,878
818,877
819,875
819,874
819,872
820,871
820,869
820,868
821,866
822,865
822,863
823,862
824,860
825,859
826,857
827,856
828,854
829,853
830,851
832,850
833,848
834,847
836,845
837,844
838,842
840,841
841,839
843,838
844,836
846,834
847,833
849,831
851,830
852,828
854,827
855,825
857,823
858,822
860,820
861,819
863,817
864,815
865,814
867,812
868,810
869,808
871,807
872,805
873,803
874,802
876,800
877,798
878,796
879,795
880,793
881,792
882,790
883,788
884,787
885,785
886,784
888,783
889,781
890,780
891,779
892,778
893,777
894,776
895,775
896,774
897,773
898,772
900,772
901,771
902,771
903,770
904,770
906,770
907,770
908,770
909,770
911,770
912,770
913,770
915,770
916,771
917,771
918,772
920,772
921,773
922,774
923,775
925,775
926,776
927,777
928,778
929,779
930,780
932,782
933,783
934,784
935,785
936,787
937,788
938,789
940,791
941,792
942,793
943,795
944,796
945,797
947,799
948,800
949,802
950,803
952,804
953,805
955,807
956,808
957,809
959,810
960,811
962,812
964,813
965,814
967,815
969,816
971,817
972,818
974,818
976,819
978,820
980,820
982,821
984,821
986,822
988,822
990,822
992,823
994,823
996,823
998,824
1001,824
1003,824
1005,824
1007,824
1009,824
1011,824
1013,824
1015,824
1017,824
1020,824
1022,824
1024,824
1026,824
1028,824
1030,824
1032,823
1034,823
1036,823
1038,823
1040,822
1042,822
1043,822
1045,821
1047,821
1049,820
1051,820
1053,819
1054,819
1056,818
1058,818
1059,817
1061,817
1063,816
1064,815
1066,815
1067,814
1069,813
1070,812
1072,812
1073,811
1074,810
1076,809
1077,808
1078,807
1080,806
1081,805
1082,804
1083,803
1084,802
1085,801
1086,799
1087,798
1087,797
1088,796
1089,795
1089,793
1090,792
1090,791
1090,789
1090,788
1090,786
1090,785
1090,784
1090,782
1090,781
1089,779
1088,778
1087,776
1087,775
1086,773
1084,771
1083,770
1082,768
1081,767
1079,765
1078,763
1076,762
1075,760
1073,759
1071,757
1070,755
1068,754
1066,752
1065,750
1063,749
1061,747
1060,745
1058,744
1056,742
1055,740
1053,739
1052,737
1050,735
1049,734
1048,732
1047,730
1046,729
1045,727
1044,726
1043,724
1043,722
1042,721
1042,719
1042,718
1041,716
1041,715
1041,713
1041,712
1042,710
1042,709
1042,707
1042,706
1043,705
1043,703
1043,702
1044,700
1044,699
1044,698
1044,696
1045,695
1045,694
1045,692
1045,691
1045,690
1045,688
1045,687
1045,686
1045,685
1045,683
1044,682
1044,681
1044,679
1043,678
1043,677
1042,676
1042,674
1041,673
1041,672
1040,670
1040,669
1039,667
1039,666
1039,664
1038,663
1038,661
1038,660
1037,658
1037,656
1037,655
1037,653
1037,651
1036,649
1036,647
1036,645
1036,643
1037,641
1037,639
1037,637
1037,635
1037,633
1037,631
1037,629
1037,627
1038,625
1038,623
1038,620
1038,618
1038,616
1038,614
1039,612
1039,610
1039,608
1039,605
1039,603
1039,601
1039,599
1039,597
1039,595
1039,593
1039,591
1039,589
1039,587
1039,585
1039,583
1039,582
1038,580
1038,578
1038,576
1038,575
1037,573
1037,571
1037,570
1037,568
1036,567
1036,565
1036,564
1036,562
1036,561
1036,560
1036,558
1036,557
1036,556
1036,555
1037,554
1037,553
1037,552
1038,551
1038,550
1039,549
1040,548
1040,547
1041,546
1042,545
1043,544
1044,543
1045,543
1046,542
1047,541
1048,540
1050,539
1051,539
1052,538
1054,537
1055,536
1056,535
1058,534
1059,533
1061,532
1062,531
1064,530
1065,529
1067,528
1068,527
1070,525
1071,524
1073,523
1074,522
1076,520
1077,519
1079,518
1081,516
1082,515
1084,513
1085,512
1087,510
1088,509
1090,508
1091,506
1093,505
1094,503
1096,502
1097,500
1099,499
1100,497
1102,496
1103,494
1105,493
1106,491
1107,490
1109,488
1110,487
1111,486
1113,484
1114,483
1115,482
1116,480
1117,479
1118,478
1119,476
1120,475
1121,474
1122,473
1123,471
1124,470
1124,469
1125,468
1125,467
1125,466
1126,464
1126,463
1126,462
1126,461
1126,460
1125,459
1125,457
1125,456
1124,455
1123,454
1122,453
1121,452
1120,450
1119,449
1118,448
1117,447
1115,446
1114,445
1112,444
1111,443
1109,442
1107,441
1105,440
1104,439
1102,438
1100,437
1098,436
1096,435
1094,434
1092,433
1090,432
1088,431
1086,431
1084,430
1082,429
1080,429
1078,428
1076,427
1074,427
1072,426
1070,426
1068,425
1066,425
1064,425
1062,424
1060,424
1058,424
1056,424
1054,423
1053,423
1051,423
1049,423
1047,423
1046,424
1044,424
1042,424
1040,424
1039,425
1037,425
1035,425
1034,426
1032,426
1031,427
1029,428
1027,429
1026,429
1024,430
1023,431
1021,432
1020,433
1018,434
1017,436
1016,437
1014,438
1013,439
1011,440
1010,442
1009,443
1007,444
1006,445
1005,446
1003,447
1002,449
1001,450
999,451
998,451
997,452
996,453
995,454
993,454
992,455
991,455
990,456
989,456
987,456
986,456
985,456
984,456
983,455
982,455
981,455
980,454
978,453
977,453
976,452
975,451
974,450
973,450
972,449
971,448
969,447
968,446
967,445
966,444
965,443
963,443
962,442
961,441
960,440
958,439
957,438
956,438
954,437
953,436
952,435
950,434
949,434
948,433
946,432
945,432
944,431
942,430
941,430
939,429
938,428
937,428
935,427
934,427
932,426
931,426
929,425
928,425
927,424
925,424
924,423
922,423
921,423
919,423
918,422
917,422
915,422
914,422
912,422
911,422
910,422
908,423
907,423
906,423
905,424
904,424
902,425
901,426
900,427
899,428
