x,y
1037,1253
1036,1254
1034,1255
1032,1256
1030,1257
1029,1258
1027,1260
1025,1261
1024,1263
1022,1264
1020,1266
1019,1268
1017,1269
1015,1271
1014,1273
1012,1275
1011,1276
1009,1278
1007,1280
1006,1282
1004,1283
1003,1285
1001,1286
999,1288
998,1289
996,1291
995,1292
993,1293
992,1294
990,1295
989,1296
988,1297
986,1297
985,1298
983,1298
982,1299
980,1299
979,1300
977,1300
976,1300
974,1300
973,1301
971,1301
969,1301
968,1301
966,1302
964,1302
962,1302
960,1302
958,1303
956,1303
954,1304
952,1304
950,1305
948,1305
946,1305
943,1306
941,1307
939,1307
936,1308
934,1308
932,1309
929,1309
927,1310
924,1310
922,1311
919,1311
917,1312
914,1312
912,1312
909,1313
907,1313
904,1313
901,1314
899,1314
896,1314
894,1314
891,1314
889,1314
887,1314
884,1314
882,1314
879,1314
877,1313
875,1313
872,1313
870,1312
868,1312
866,1311
864,1311
862,1310
859,1310
857,1309
855,1308
854,1307
852,1306
850,1305
848,1304
846,1303
845,1302
843,1301
841,1300
840,1299
838,1297
837,1296
836,1295
834,1293
833,1292
832,1290
831,1288
830,1287
829,1285
828,1283
827,1282
826,1280
826,1278
825,1276
824,1275
824,1273
823,1271
823,1269
822,1267
822,1265
821,1263
821,1262
821,1260
820,1258
820,1256
820,1254
820,1253
820,1251
819,1249
819,1247
819,1246
819,1244
819,1242
818,1241
818,1239
818,1237
818,1235
817,1234
817,1232
816,1230
815,1229
815,1227
814,1225
813,1224
812,1222
810,1221
809,1219
808,1217
806,1216
804,1214
802,1212
801,1211
799,1209
796,1208
794,1206
792,1205
790,1203
787,1202
785,1201
782,1199
780,1198
778,1197
775,1196
772,1196
770,1195
767,1194
765,1194
762,1193
760,1193
758,1193
755,1193
753,1193
751,1193
749,1193
746,1194
744,1194
743,1195
741,1196
739,1197
737,1199
736,1200
735,1201
733,1203
732,1205
731,1206
730,1208
729,1210
728,1212
728,1214
727,1215
727,1217
727,1219
727,1221
727,1223
727,1224
727,1226
728,1228
729,1229
729,1231
730,1232
731,1233
733,1234
734,1235
735,1237
737,1238
738,1239
740,1240
741,1240
743,1241
745,1242
746,1243
748,1244
750,1245
751,1246
753,1247
754,1248
756,1248
757,1249
758,1250
760,1251
761,1252
762,1254
763,1255
764,1256
765,1257
765,1258
766,1259
766,1261
767,1262
767,1263
768,1264
768,1265
768,1266
768,1267
768,1268
768,1269
768,1270
768,1271
768,1272
767,1273
767,1274
766,1275
765,1275
765,1276
764,1276
763,1277
761,1277
760,1278
759,1278
757,1278
755,1279
753,1279
752,1279
749,1279
747,1279
745,1279
743,1278
740,1278
738,1278
735,1277
732,1277
730,1276
727,1275
724,1275
721,1274
718,1273
715,1272
711,1271
708,1270
705,1269
701,1267
698,1266
694,1264
691,1263
687,1261
684,1260
680,1258
677,1256
673,1254
669,1252
665,1250
662,1247
658,1245
654,1243
651,1240
647,1237
643,1235
639,1232
636,1229
632,1226
628,1223
624,1220
621,1217
617,1214
614,1211
610,1208
606,1204
603,1201
599,1198
596,1194
592,1191
589,1188
586,1184
582,1181
579,1177
576,1174
573,1171
570,1167
567,1164
564,1160
561,1157
558,1154
556,1150
553,1147
550,1144
548,1141
546,1137
543,1134
541,1131
539,1128
537,1125
535,1122
533,1120
532,1117
530,1114
528,1112
527,1109
526,1107
525,1104
524,1102
523,1100
522,1098
521,1096
521,1094
521,1093
520,1091
520,1089
520,1088
520,1087
520,1085
521,1084
521,1083
521,1082
522,1081
522,1079
522,1078
523,1077
523,1076
524,1075
524,1074
525,1072
525,1071
526,1070
526,1068
527,1067
527,1066
527,1064
527,1063
527,1061
527,1060
527,1058
527,1056
527,1055
527,1053
526,1051
526,1050
525,1048
524,1046
523,1045
522,1043
521,1041
520,1039
518,1037
517,1035
515,1034
513,1032
511,1030
510,1028
507,1026
505,1024
503,1022
501,1020
499,1018
497,1015
494,1013
492,1011
489,1009
487,1007
485,1005
482,1003
480,1000
477,998
475,996
472,994
470,991
468,989
465,987
463,984
461,982
459,979
457,977
455,975
453,972
451,970
449,967
447,965
446,962
444,960
443,957
441,955
440,952
439,950
438,947
437,945
436,942
435,940
435,937
434,935
434,932
433,930
433,928
