x,y
2916,4493
2915,4494
2913,4494
2912,4494
2910,4494
2909,4494
2908,4495
2906,4495
2905,4495
2904,4495
2902,4496
2901,4496
2899,4496
2898,4496
2897,4497
2895,4497
2894,4497
2892,4497
2891,4497
2890,4498
2888,4498
2887,4498
2885,4498
2884,4499
2883,4499
2881,4499
2880,4499
2879,4499
2877,4500
2876,4500
2874,4500
2873,4500
2872,4501
2870,4501
2869,4501
2867,4501
2866,4501
2865,4502
2863,4502
2862,4502
2860,4502
2859,4502
2858,4503
2856,4503
2855,4503
2853,4503
2852,4503
2851,4504
2849,4504
2848,4504
2846,4504
2845,4505
2843,4505
2842,4505
2841,4505
2839,4505
2838,4505
2836,4506
2835,4506
2834,4506
2832,4506
2831,4506
2829,4507
2828,4507
2827,4507
2825,4507
2824,4507
2822,4508
2821,4508
2819,4508
2818,4508
2817,4508
2815,4508
2814,4509
2812,4509
2811,4509
2809,4509
2808,4509
2807,4510
2805,4510
2804,4510
2802,4510
2801,4510
2799,4510
2798,4511
2797,4511
2795,4511
2794,4511
2792,4511
2791,4511
2789,4512
2788,4512
2787,4512
2785,4512
2784,4512
2782,4512
2781,4512
2779,4513
2778,4513
2776,4513
2775,4513
2774,4513
2772,4513
2771,4513
2769,4514
2768,4514
2766,4514
2765,4514
2763,4514
2762,4514
2761,4514
2759,4515
2758,4515
2756,4515
2755,4515
2753,4515
2752,4515
2750,4515
2749,4515
2747,4516
2746,4516
2745,4516
2743,4516
2742,4516
2740,4516
2739,4516
2737,4516
2736,4516
2734,4517
2733,4517
2731,4517
2730,4517
2728,4517
2727,4517
2725,4517
2724,4517
2723,4517
2721,4517
2720,4518
2718,4518
2717,4518
2715,4518
2714,4518
2712,4518
2711,4518
2709,4518
2708,4518
2706,4518
2705,4518
2703,4518
2702,4518
2700,4519
2699,4519
2697,4519
2696,4519
2694,4519
2693,4519
2691,4519
2690,4519
2688,4519
2687,4519
2685,4519
2684,4519
2682,4519
2681,4519
2679,4519
2678,4519
2676,4519
2675,4519
2673,4519
2672,4519
2670,4520
2669,4520
2667,4520
2666,4520
2664,4520
2663,4520
2661,4520
2660,4520
2658,4520
2657,4520
2655,4520
2654,4520
2652,4520
2651,4520
2649,4520
2648,4520
2646,4520
2645,4520
2643,4520
2642,4520
2640,4520
2639,4520
2637,4520
2636,4520
2634,4520
2632,4520
2631,4520
2629,4520
2628,4520
2626,4520
2625,4520
2623,4519
2622,4519
2620,4519
2619,4519
2617,4519
2616,4519
2614,4519
2612,4519
2611,4519
2609,4519
2608,4519
2606,4519
2605,4519
2603,4519
2602,4519
2600,4519
2599,4519
2597,4519
2595,4518
2594,4518
2592,4518
2591,4518
2589,4518
2588,4518
2586,4518
2585,4518
2583,4518
2581,4518
2580,4518
2578,4518
2577,4517
2575,4517
2574,4517
2572,4517
2570,4517
2569,4517
2567,4517
2566,4517
2564,4517
2563,4516
2561,4516
2559,4516
2558,4516
2556,4516
2555,4516
2553,4516
2552,4515
2550,4515
2548,4515
2547,4515
2545,4515
2544,4515
2542,4515
2540,4514
2539,4514
2537,4514
2536,4514
2534,4514
2532,4514
2531,4513
2529,4513
2528,4513
2526,4513
2524,4513
2523,4512
2521,4512
2520,4512
2518,4512
2516,4512
2515,4511
2513,4511
2512,4511
2510,4511
2508,4511
2507,4510
2505,4510
2503,4510
2502,4510
2500,4509
2499,4509
2497,4509
2495,4509
2494,4508
2492,4508
2490,4508
2489,4508
2487,4507
2486,4507
2484,4507
2482,4507
2481,4506
2479,4506
2477,4506
2476,4506
2474,4505
2472,4505
2471,4505
2469,4505
2468,4504
2466,4504
2464,4504
2463,4503
2461,4503
2459,4503
2458,4502
2456,4502
2454,4502
2453,4501
2451,4501
2449,4501
2448,4501
2446,4500
2444,4500
2443,4500
2441,4499
2439,4499
2438,4498
2436,4498
2434,4498
2433,4497
2431,4497
2429,4497
2428,4496
2426,4496
2424,4496
2423,4495
2421,4495
2419,4494
2418,4494
2416,4494
2414,4493
2412,4493
2411,4493
2409,4492
2407,4492
2406,4491
2404,4491
2402,4490
2401,4490
2399,4490
2397,4489
2396,4489
2394,4488
2392,4488
2390,4487
2389,4487
2387,4487
2385,4486
2384,4486
2382,4485
2380,4485
2378,4484
2377,4484
2375,4483
2373,4483
2372,4482
2370,4482
2368,4481
2366,4481
2365,4480
2363,4480
2361,4480
2359,4479
2358,4479
2356,4478
2354,4477
2353,4477
2351,4476
2349,4476
2347,4475
2346,4475
2344,4474
2342,4474
2340,4473
2339,4473
2337,4472
2335,4472
2333,4471
2332,4470
2330,4470
2328,4469
2326,4469
2325,4468
2323,4468
2321,4467
2319,4466
2318,4466
2316,4465
2314,4465
2312,4464
2310,4463
2309,4463
2307,4462
2305,4462
2303,4461
2302,4460
2300,4460
2298,4459
2296,4459
2294,4458
2293,4457
2291,4457
2289,4456
2287,4455
2286,4455
2284,4454
2282,4453
2280,4453
2278,4452
2277,4451
2275,4451
2273,4450
2271,4449
2269,4449
2268,4448
2266,4447
2264,4447
2262,4446
2260,4445
2259,4444
2257,4444
2255,4443
2253,4442
2251,4442
2250,4441
2248,4440
2246,4439
2244,4439
2242,4438
2240,4437
2239,4436
2237,4436
2235,4435
2233,4434
2231,4433
2230,4433
2228,4432
2226,4431
2224,4430
2222,4429
2220,4429
2219,4428
2217,4427
2215,4426
2213,4426
2211,4425
2209,4424
2208,4423
2206,4422
2204,4422
2202,4421
2200,4420
2198,4419
2197,4418
2195,4417
2193,4417
2191,4416
2189,4415
2187,4414
2185,4413
2184,4412
2182,4411
2180,4411
2178,4410
2176,4409
2174,4408
2173,4407
2171,4406
2169,4405
2167,4405
2165,4404
2163,4403
2161,4402
2160,4401
2158,4400
2156,4399
2154,4398
2152,4397
2150,4397
2148,4396
2147,4395
2145,4394
2143,4393
2141,4392
2139,4391
2137,4390
2135,4389
2133,4388
2132,4387
2130,4386
2128,4385
2126,4384
2124,4383
2122,4382
2120,4382
2118,4381
2117,4380
2115,4379
2113,4378
2111,4377
2109,4376
2107,4375
2105,4374
2103,4373
2102,4372
2100,4371
2098,4370
2096,4369
2094,4368
2092,4367
2090,4366
2088,4365
2087,4364
2085,4363
2083,4362
2081,4361
2079,4360
2077,4359
2075,4358
2073,4357
2072,4356
2070,4354
2068,4353
2066,4352
2064,4351
2062,4350
2060,4349
2058,4348
2056,4347
2055,4346
2053,4345
2051,4344
2049,4343
2047,4342
2045,4341
2043,4340
2041,4338
2039,4337
2038,4336
2036,4335
2034,4334
2032,4333
2030,4332
2028,4331
2026,4330
2024,4329
2022,4327
2021,4326
2019,4325
2017,4324
2015,4323
2013,4322
2011,4321
2009,4320
2007,4318
2005,4317
2003,4316
2002,4315
2000,4314
1998,4313
1996,4312
1994,4310
1992,4309
1990,4308
1988,4307
1986,4306
1985,4305
1983,4303
1981,4302
1979,4301
1977,4300
1975,4299
1973,4297
1971,4296
1969,4295
1967,4294
1966,4293
1964,4292
1962,4290
1960,4289
1958,4288
1956,4287
1954,4285
1952,4284
1950,4283
1949,4282
1947,4281
1945,4279
1943,4278
1941,4277
1939,4276
1937,4274
1935,4273
1933,4272
1931,4271
1930,4269
1928,4268
1926,4267
1924,4266
1922,4264
1920,4263
1918,4262
1916,4261
1914,4259
1913,4258
1911,4257
1909,4256
1907,4254
1905,4253
1903,4252
1901,4250
1899,4249
1897,4248
1896,4247
1894,4245
1892,4244
1890,4243
1888,4241
1886,4240
1884,4239
1882,4237
1880,4236
1879,4235
1877,4233
1875,4232
1873,4231
1871,4229
1869,4228
1867,4227
1865,4225
1863,4224
1862,4223
1860,4221
1858,4220
1856,4219
1854,4217
1852,4216
1850,4215
1848,4213
1847,4212
1845,4211
1843,4209
1841,4208
1839,4207
1837,4205
1835,4204
1833,4202
1832,4201
1830,4200
1828,4198
1826,4197
1824,4196
1822,4194
1820,4193
1818,4191
1817,4190
1815,4189
1813,4187
1811,4186
1809,4184
1807,4183
1805,4182
1803,4180
1802,4179
1800,4177
1798,4176
1796,4174
1794,4173
1792,4172
1790,4170
1789,4169
1787,4167
1785,4166
1783,4164
1781,4163
1779,4162
1777,4160
1776,4159
1774,4157
1772,4156
1770,4154
1768,4153
1766,4151
1764,4150
1763,4149
1761,4147
1759,4146
1757,4144
1755,4143
1753,4141
1751,4140
1750,4138
1748,4137
1746,4135
1744,4134
1742,4132
1740,4131
1739,4129
1737,4128
1735,4126
1733,4125
1731,4123
1729,4122
1728,4120
1726,4119
1724,4117
1722,4116
1720,4114
1718,4113
1717,4111
1715,4110
1713,4108
1711,4107
1709,4105
1707,4104
1706,4102
1704,4101
1702,4099
1700,4098
1698,4096
1697,4095
1695,4093
1693,4092
1691,4090
1689,4089
1688,4087
1686,4085
1684,4084
1682,4082
1680,4081
1678,4079
1677,4078
1675,4076
1673,4075
1671,4073
1669,4071
1668,4070
1666,4068
1664,4067
1662,4065
1660,4064
1659,4062
1657,4060
1655,4059
1653,4057
1652,4056
1650,4054
1648,4053
1646,4051
1644,4049
1643,4048
1641,4046
1639,4045
1637,4043
1636,4041
1634,4040
1632,4038
1630,4037
1628,4035
1627,4033
1625,4032
1623,4030
1621,4029
1620,4027
1618,4025
1616,4024
1614,4022
1613,4021
1611,4019
1609,4017
1607,4016
1606,4014
1604,4012
1602,4011
1600,4009
1599,4008
1597,4006
1595,4004
1593,4003
1592,4001
1590,3999
1588,3998
1586,3996
1585,3994
1583,3993
1581,3991
1579,3990
1578,3988
1576,3986
1574,3985
1573,3983
1571,3981
1569,3980
1567,3978
1566,3976
1564,3975
1562,3973
1561,3971
1559,3970
1557,3968
1555,3966
1554,3965
1552,3963
1550,3961
1549,3960
1547,3958
1545,3956
1544,3955
1542,3953
1540,3951
1538,3950
1537,3948
1535,3946
1533,3944
1532,3943
1530,3941
1528,3939
1527,3938
1525,3936
1523,3934
1522,3933
1520,3931
1518,3929
1517,3928
1515,3926
1513,3924
1512,3922
1510,3921
1508,3919
1507,3917
1505,3916
1503,3914
1502,3912
1500,3910
1499,3909
1497,3907
1495,3905
1494,3904
1492,3902
1490,3900
1489,3898
1487,3897
1485,3895
1484,3893
1482,3891
1481,3890
1479,3888
1477,3886
1476,3885
1474,3883
1472,3881
1471,3879
1469,3878
1468,3876
1466,3874
1464,3872
1463,3871
1461,3869
1460,3867
1458,3865
1456,3864
1455,3862
1453,3860
1452,3858
1450,3857
1449,3855
1447,3853
1445,3851
1444,3850
1442,3848
1441,3846
1439,3844
1438,3842
1436,3841
1434,3839
1433,3837
1431,3835
1430,3834
1428,3832
1427,3830
1425,3828
1424,3827
1422,3825
1420,3823
1419,3821
1417,3819
1416,3818
1414,3816
1413,3814
1411,3812
1410,3811
1408,3809
1407,3807
1405,3805
1404,3803
1402,3802
1401,3800
1399,3798
1398,3796
1396,3794
1395,3793
1393,3791
1392,3789
1390,3787
1389,3785
1387,3784
1386,3782
1384,3780
1383,3778
1381,3776
1380,3775
1378,3773
1377,3771
1375,3769
1374,3767
1372,3766
1371,3764
1370,3762
1368,3760
1367,3758
1365,3757
1364,3755
1362,3753
1361,3751
1359,3749
1358,3748
1356,3746
1355,3744
1354,3742
1352,3740
1351,3738
1349,3737
1348,3735
1347,3733
1345,3731
1344,3729
1342,3727
1341,3726
1339,3724
1338,3722
1337,3720
1335,3718
1334,3717
1333,3715
1331,3713
1330,3711
1328,3709
1327,3707
1326,3706
1324,3704
1323,3702
1321,3700
1320,3698
1319,3696
1317,3694
1316,3693
1315,3691
1313,3689
1312,3687
1311,3685
1309,3683
1308,3682
1307,3680
1305,3678
1304,3676
1303,3674
1301,3672
1300,3671
1299,3669
1297,3667
1296,3665
1295,3663
1293,3661
1292,3659
1291,3658
1289,3656
1288,3654
1287,3652
1286,3650
1284,3648
1283,3646
1282,3645
1280,3643
1279,3641
1278,3639
1277,3637
1275,3635
1274,3633
1273,3631
1271,3630
1270,3628
1269,3626
1268,3624
1266,3622
1265,3620
1264,3618
1263,3617
1261,3615
1260,3613
1259,3611
1258,3609
1256,3607
1255,3605
1254,3603
1253,3602
1252,3600
1250,3598
1249,3596
1248,3594
1247,3592
1245,3590
1244,3588
1243,3587
1242,3585
1241,3583
1239,3581
1238,3579
1237,3577
1236,3575
1235,3573
1234,3571
1232,3570
1231,3568
1230,3566
1229,3564
1228,3562
1226,3560
1225,3558
1224,3556
1223,3554
1222,3552
1221,3551
1220,3549
1218,3547
1217,3545
1216,3543
1215,3541
1214,3539
1213,3537
1212,3535
1210,3534
1209,3532
1208,3530
1207,3528
1206,3526
1205,3524
1204,3522
1203,3520
1202,3518
1200,3516
1199,3514
1198,3513
1197,3511
1196,3509
1195,3507
1194,3505
1193,3503
1192,3501
1191,3499
1190,3497
1188,3495
1187,3493
1186,3491
1185,3490
1184,3488
1183,3486
1182,3484
1181,3482
1180,3480
1179,3478
1178,3476
1177,3474
1176,3472
1175,3470
1174,3468
1173,3467
1172,3465
1171,3463
1170,3461
1169,3459
1168,3457
1167,3455
1166,3453
1165,3451
1164,3449
1163,3447
1162,3445
1161,3443
1160,3441
1159,3440
1158,3438
1157,3436
1156,3434
1155,3432
1154,3430
1153,3428
1152,3426
1151,3424
1150,3422
1149,3420
1148,3418
1147,3416
1146,3414
1145,3412
1144,3410
1143,3408
1142,3407
1141,3405
1140,3403
1139,3401
1138,3399
1137,3397
1137,3395
1136,3393
1135,3391
1134,3389
1133,3387
1132,3385
1131,3383
1130,3381
1129,3379
1128,3377
1127,3375
1127,3373
1126,3371
1125,3370
1124,3368
1123,3366
1122,3364
1121,3362
1120,3360
1119,3358
1119,3356
1118,3354
1117,3352
1116,3350
1115,3348
1114,3346
1113,3344
1113,3342
1112,3340
1111,3338
1110,3336
1109,3334
1108,3332
1108,3330
1107,3328
1106,3326
1105,3324
1104,3322
1103,3320
1103,3318
1102,3317
1101,3315
1100,3313
1099,3311
1099,3309
1098,3307
1097,3305
1096,3303
1095,3301
1095,3299
1094,3297
1093,3295
1092,3293
1091,3291
1091,3289
1090,3287
1089,3285
1088,3283
1088,3281
1087,3279
1086,3277
1085,3275
1085,3273
1084,3271
1083,3269
1082,3267
1082,3265
1081,3263
1080,3261
1079,3259
1079,3257
1078,3255
1077,3253
1076,3251
1076,3249
1075,3247
1074,3245
1074,3243
1073,3241
1072,3239
1072,3237
1071,3235
1070,3233
1069,3231
1069,3229
1068,3227
1067,3225
1067,3223
1066,3221
1065,3219
1065,3217
1064,3215
1063,3213
1063,3211
1062,3209
1061,3207
1061,3205
1060,3203
1059,3201
1059,3199
1058,3197
1057,3195
1057,3193
1056,3191
1056,3189
1055,3187
1054,3185
1054,3183
1053,3181
1052,3179
1052,3177
1051,3175
1051,3173
1050,3171
1049,3169
1049,3167
1048,3165
1048,3163
1047,3161
1046,3159
1046,3157
1045,3155
1045,3153
1044,3151
1044,3149
1043,3147
1042,3145
1042,3143
1041,3141
1041,3139
1040,3137
1040,3135
1039,3133
1039,3131
1038,3129
1037,3127
1037,3125
1036,3123
1036,3121
1035,3119
1035,3117
1034,3115
1034,3113
1033,3111
1033,3109
1032,3107
1032,3105
1031,3103
1031,3101
1030,3099
1030,3097
1029,3095
1029,3093
1028,3091
1028,3089
1027,3087
1027,3085
1026,3083
1026,3081
1025,3079
1025,3077
1024,3075
1024,3073
1024,3071
1023,3069
1023,3067
1022,3064
1022,3062
1021,3060
1021,3058
1020,3056
1020,3054
1020,3052
1019,3050
1019,3048
1018,3046
1018,3044
1017,3042
1017,3040
1017,3038
1016,3036
1016,3034
1015,3032
1015,3030
1015,3028
1014,3026
1014,3024
1013,3022
1013,3020
1013,3018
1012,3016
1012,3014
1012,3012
1011,3010
1011,3008
1011,3006
1010,3004
1010,3001
1009,2999
1009,2997
1009,2995
1008,2993
1008,2991
1008,2989
1007,2987
1007,2985
1007,2983
1006,2981
1006,2979
1006,2977
1005,2975
1005,2973
1005,2971
1005,2969
1004,2967
1004,2965
1004,2963
1003,2961
1003,2959
1003,2957
1002,2955
1002,2952
1002,2950
1002,2948
1001,2946
1001,2944
1001,2942
1001,2940
1000,2938
1000,2936
1000,2934
999,2932
999,2930
999,2928
999,2926
998,2924
998,2922
998,2920
998,2918
998,2916
997,2914
997,2911
997,2909
997,2907
996,2905
996,2903
996,2901
996,2899
996,2897
995,2895
995,2893
995,2891
995,2889
995,2887
994,2885
994,2883
994,2881
994,2879
994,2877
994,2874
993,2872
993,2870
993,2868
993,2866
993,2864
993,2862
992,2860
992,2858
992,2856
992,2854
992,2852
992,2850
992,2848
992,2846
991,2844
991,2842
991,2839
991,2837
991,2835
991,2833
991,2831
991,2829
991,2827
990,2825
990,2823
990,2821
990,2819
990,2817
990,2815
