x,y
4109,3312
4109,3310
4108,3308
4108,3306
4107,3304
4107,3302
4106,3301
4106,3299
4105,3297
4105,3295
4104,3293
4104,3291
4103,3289
4103,3288
4102,3286
4101,3284
4101,3282
4100,3280
4100,3279
4099,3277
4098,3275
4098,3273
4097,3271
4096,3269
4096,3268
4095,3266
4094,3264
4093,3262
4093,3260
4092,3259
4091,3257
4090,3255
4090,3253
4089,3251
4088,3250
4087,3248
4087,3246
4086,3244
4085,3243
4084,3241
4084,3239
4083,3237
4082,3235
4081,3234
4080,3232
4080,3230
4079,3228
4078,3227
4077,3225
4076,3223
4076,3221
4075,3219
4074,3218
4073,3216
4072,3214
4071,3212
4071,3211
4070,3209
4069,3207
4068,3205
4067,3204
4066,3202
4066,3200
4065,3198
4064,3196
4063,3195
4062,3193
4062,3191
4061,3189
4060,3188
4059,3186
4058,3184
4058,3182
4057,3181
4056,3179
4055,3177
4054,3175
4054,3173
4053,3172
4052,3170
4051,3168
4051,3166
4050,3165
4049,3163
4048,3161
4048,3159
4047,3158
4046,3156
4045,3154
4045,3152
4044,3150
4043,3149
4043,3147
4042,3145
4041,3143
4041,3141
4040,3140
4040,3138
4039,3136
4038,3134
4038,3132
4037,3131
4037,3129
4036,3127
4035,3125
4035,3123
4034,3122
4034,3120
4033,3118
4033,3116
4032,3114
4032,3113
4031,3111
4031,3109
4031,3107
4030,3105
4030,3103
4029,3102
4029,3100
4029,3098
4028,3096
4028,3094
4028,3092
4027,3091
4027,3089
4027,3087
4027,3085
4026,3083
4026,3081
4026,3079
4026,3078
4026,3076
4025,3074
4025,3072
4025,3070
4025,3068
4025,3066
4025,3064
4025,3063
4025,3061
4025,3059
4025,3057
4025,3055
4025,3053
4025,3051
4025,3049
4025,3047
4025,3046
4026,3044
4026,3042
4026,3040
4026,3038
4026,3036
4027,3034
4027,3032
4027,3031
4027,3029
4028,3027
4028,3025
4028,3023
4029,3021
4029,3020
4029,3018
4030,3016
4030,3014
4031,3012
4031,3011
4031,3009
4032,3007
4032,3006
4033,3004
4033,3002
4034,3000
4034,2999
4035,2997
4035,2995
4036,2994
4036,2992
4037,2991
4038,2989
4038,2987
4039,2986
4040,2984
4040,2983
4041,2981
4041,2980
4042,2978
4043,2977
4044,2976
4044,2974
4045,2973
4046,2971
4046,2970
4047,2969
4048,2968
4049,2966
4050,2965
4050,2964
4051,2963
4052,2961
4053,2960
4054,2959
4054,2958
4055,2957
4056,2956
4057,2955
4058,2954
4059,2953
4060,2952
4061,2951
4062,2950
4062,2950
4063,2949
4064,2948
4065,2947
4066,2947
4067,2946
4068,2945
4069,2945
4070,2944
4071,2943
4072,2943
4073,2942
4074,2942
4075,2942
4076,2941
4077,2941
4078,2941
4079,2940
4080,2940
4081,2940
4082,2940
4083,2940
4084,2940
4086,2940
4087,2940
4088,2940
4089,2940
4090,2940
4091,2940
4092,2940
4093,2941
4094,2941
4095,2941
4096,2941
4098,2942
4099,2942
4100,2943
4101,2943
4102,2944
4103,2944
4104,2945
4106,2945
4107,2946
4108,2947
4109,2947
4110,2948
4111,2949
4112,2949
4114,2950
4115,2951
4116,2952
4117,2952
4118,2953
4119,2954
4121,2955
4122,2956
4123,2957
4124,2957
4125,2958
4127,2959
4128,2960
4129,2961
4130,2962
4131,2963
4133,2964
4134,2965
4135,2966
4136,2967
4137,2968
4139,2969
4140,2970
4141,2971
4142,2972
4144,2973
4145,2974
4146,2975
4147,2976
4148,2977
4150,2978
4151,2979
4152,2980
4153,2981
4155,2982
4156,2983
4157,2984
4158,2985
4159,2986
4161,2987
4162,2987
4163,2988
4164,2989
4166,2990
4167,2991
4168,2992
4169,2993
4171,2993
4172,2994
4173,2995
4174,2996
4175,2997
4177,2997
4178,2998
4179,2999
4180,2999
4182,3000
4183,3000
4184,3001
4185,3002
4186,3002
4188,3003
4189,3003
4190,3003
4191,3004
4193,3004
4194,3005
4195,3005
4196,3005
4197,3005
4199,3006
4200,3006
4201,3006
4202,3006
4203,3006
4205,3006
4206,3006
4207,3006
4208,3006
4209,3006
4210,3006
4212,3005
4213,3005
4214,3005
4215,3005
4216,3004
4218,3004
4219,3004
4220,3003
4221,3003
4222,3002
4223,3002
4224,3001
4226,3001
4227,3000
4228,2999
4229,2999
4230,2998
4231,2997
4232,2997
4234,2996
4235,2995
4236,2994
4237,2994
4238,2993
4239,2992
4240,2991
4241,2990
4242,2989
4243,2988
4245,2987
4246,2986
4247,2985
4248,2984
4249,2983
4250,2982
4251,2981
4252,2980
4253,2978
4254,2977
4255,2976
4256,2975
4257,2974
4258,2972
4259,2971
4260,2970
4261,2969
4262,2967
4263,2966
4264,2965
4265,2963
4266,2962
4267,2961
4268,2959
4269,2958
4270,2956
4271,2955
4272,2953
4273,2952
4274,2951
4275,2949
4276,2948
4277,2946
4278,2945
4278,2943
4279,2942
4280,2940
4281,2938
4282,2937
4283,2935
4284,2934
4285,2932
4285,2931
4286,2929
4287,2927
4288,2926
4289,2924
4290,2923
4290,2921
4291,2919
4292,2918
4293,2916
4294,2915
4294,2913
4295,2911
4296,2910
4297,2908
4297,2906
4298,2905
4299,2903
4300,2902
4300,2900
4301,2898
4302,2897
4302,2895
4303,2893
4304,2892
4304,2890
4305,2889
4306,2887
4306,2885
4307,2884
4308,2882
4308,2880
4309,2879
4309,2877
4310,2876
4311,2874
4311,2872
4312,2871
4312,2869
4313,2868
4313,2866
4314,2864
4315,2863
4315,2861
4316,2860
4316,2858
4317,2856
4317,2855
4318,2853
4318,2852
4319,2850
4319,2848
4319,2847
4320,2845
4320,2844
4321,2842
4321,2840
4322,2839
4322,2837
4322,2835
4323,2834
4323,2832
4323,2831
4324,2829
4324,2827
4325,2826
4325,2824
4325,2823
4325,2821
4326,2819
4326,2818
4326,2816
4327,2814
4327,2813
4327,2811
4327,2809
4328,2808
4328,2806
4328,2804
4328,2803
4329,2801
4329,2800
4329,2798
4329,2796
4329,2795
4330,2793
4330,2791
4330,2789
4330,2788
4330,2786
4330,2784
4330,2783
4331,2781
4331,2779
4331,2778
4331,2776
4331,2774
4331,2773
4331,2771
4331,2769
4331,2767
4331,2766
4331,2764
4331,2762
4331,2760
4331,2759
4331,2757
4331,2755
4331,2753
4331,2752
4331,2750
4331,2748
4331,2746
4331,2744
4331,2743
4331,2741
4331,2739
4330,2737
4330,2735
4330,2734
4330,2732
4330,2730
4330,2728
4330,2726
4329,2724
4329,2723
4329,2721
4329,2719
4329,2717
4328,2715
4328,2713
4328,2711
4328,2709
4327,2707
4327,2705
4327,2704
4327,2702
4326,2700
4326,2698
4326,2696
4325,2694
4325,2692
4325,2690
4324,2688
4324,2686
4324,2684
4323,2682
4323,2680
4322,2678
4322,2676
4322,2674
4321,2672
4321,2670
4320,2668
4320,2666
4319,2664
4319,2662
4318,2660
4318,2657
4317,2655
4317,2653
4316,2651
4316,2649
4315,2647
4315,2645
4314,2643
4314,2641
4313,2639
4312,2637
4312,2635
