x,y
3282,3570
3066,3480
2922,3402
2976,3294
2844,3288
2784,3318
2640,3312
2436,3282
2208,3120
2124,2970
2112,2802
2172,2574
2238,2442
2136,2478
2022,2496
1908,2394
1812,2334
1866,2196
1896,2052
1872,1920
1788,1836
1668,1758
1416,1680
1224,1458
1062,1350
960,1194
762,1146
1032,810
1614,438
2070,336
2466,336
2730,462
2664,612
2568,726
2436,885
2418,960
2406,1134
2442,1248
2466,1380
2466,1476
2376,1494
2208,1590
1932,1584
1722,1626
1752,1728
1896,1836
1986,2082
2028,2166
2130,2262
2178,2280
2559,2226
2835,2052
2964,1896
3216,1872
3426,1854
3474,1716
3444,1536
3342,1398
3126,1308
3090,1182
3084,1086
3006,1002
3102,972
3204,990
3366,1128
3564,1230
3696,1290
3846,1716
3936,2184
3846,2748
3708,3090
3492,3354
