x,y
736,937
739,936
742,935
744,934
747,933
750,932
752,931
755,930
757,929
760,928
763,927
765,926
768,925
770,924
773,924
775,923
778,922
780,921
782,920
785,919
787,918
789,917
792,916
794,916
796,915
798,914
800,913
802,912
804,911
806,910
808,910
810,909
812,908
814,907
816,906
818,905
819,904
821,904
823,903
824,902
826,901
827,900
828,899
830,899
831,898
832,897
833,896
834,895
835,894
836,893
837,893
838,892
839,891
840,890
840,889
841,888
841,887
842,887
842,886
842,885
842,884
843,883
843,882
843,881
842,880
842,880
842,879
842,878
842,877
841,876
841,875
841,874
840,873
840,872
840,871
839,870
839,869
838,868
838,867
838,866
837,865
837,864
837,863
837,862
836,861
836,860
836,859
836,857
836,856
836,855
836,854
837,853
837,851
837,850
838,849
838,848
839,846
839,845
840,844
841,842
842,841
843,840
844,838
845,837
846,835
847,834
848,832
849,831
850,829
851,828
853,826
854,824
856,823
857,821
859,820
860,818
862,816
863,814
865,813
866,811
868,809
870,807
872,806
873,804
875,802
877,800
879,798
881,796
883,794
884,793
886,791
888,789
890,787
892,785
894,783
896,781
898,778
900,776
902,774
904,772
906,770
908,768
910,766
912,763
914,761
916,759
917,757
919,754
921,752
923,750
925,747
927,745
929,743
931,740
932,738
934,736
936,733
938,731
939,728
941,726
943,723
944,721
946,718
948,715
949,713
951,710
952,708
953,705
955,702
956,700
958,697
959,694
960,691
961,689
963,686
964,683
965,680
966,677
967,675
968,672
969,669
970,666
971,663
972,660
973,657
974,654
975,652
976,649
977,646
978,643
978,640
979,637
980,634
981,631
981,628
982,625
983,622
983,619
984,616
984,613
985,610
986,607
986,604
987,601
987,597
988,594
988,591
988,588
989,585
989,582
990,579
990,576
990,573
991,570
991,567
991,564
991,561
992,557
992,554
992,551
992,548
992,545
993,542
993,539
993,536
993,533
993,530
993,527
993,524
993,521
993,517
993,514
994,511
994,508
994,505
994,502
994,499
993,496
993,493
993,490
993,487
993,484
993,481
993,478
993,475
993,472
993,469
993,467
993,464
992,461
992,458
992,455
992,452
992,449
992,446
992,444
991,441
991,438
991,435
991,432
991,430
990,427
990,424
990,421
990,419
989,416
989,413
989,410
989,408
988,405
988,402
988,400
987,397
987,394
987,392
986,389
986,386
986,384
985,381
985,379
985,376
984,374
984,371
983,368
983,366
982,363
982,361
982,358
981,356
981,353
980,351
980,348
979,346
978,343
978,341
977,339
977,336
976,334
976,331
975,329
974,326
974,324
973,322
972,319
972,317
971,314
970,312
970,310
969,307
968,305
967,303
967,300
966,298
965,296
964,293
963,291
962,289
962,287
961,284
960,282
959,280
958,277
957,275
956,273
955,271
954,268
953,266
952,264
951,262
950,259
949,257
948,255
947,253
945,251
944,248
943,246
942,244
941,242
940,240
938,237
937,235
936,233
935,231
933,229
932,227
931,225
929,222
928,220
927,218
925,216
924,214
922,212
921,210
920,208
918,206
917,204
915,202
914,199
912,197
911,195
909,193
908,191
906,189
905,187
903,185
901,183
900,181
898,179
897,177
895,175
893,173
892,171
890,169
888,168
887,166
885,164
883,162
882,160
880,158
878,156
876,154
875,152
873,150
871,149
869,147
868,145
866,143
864,141
862,139
860,138
858,136
857,134
855,132
853,130
851,129
849,127
847,125
845,124
843,122
841,120
839,118
837,117
836,115
834,113
832,112
830,110
828,108
826,107
824,105
822,103
820,102
818,100
816,99
814,97
812,96
810,94
807,92
805,91
803,89
801,88
799,86
797,85
795,83
793,82
791,80
789,79
786,78
784,76
782,75
780,73
778,72
776,71
773,69
771,68
769,67
767,65
764,64
762,63
760,61
758,60
755,59
753,57
751,56
749,55
746,54
744,53
742,51
739,50
737,49
734,48
732,47
730,46
727,44
725,43
723,42
720,41
718,40
715,39
713,38
710,37
708,36
705,35
703,34
700,33
698,32
695,31
693,30
690,29
688,28
685,27
682,26
680,25
677,25
674,24
672,23
669,22
667,21
664,21
661,20
658,19
656,18
653,17
650,17
648,16
645,15
642,15
639,14
636,13
634,13
631,12
628,12
625,11
622,10
619,10
617,9
614,9
611,8
608,8
605,7
602,7
599,6
596,6
593,5
590,5
588,5
585,4
582,4
579,4
576,3
573,3
570,3
567,2
564,2
561,2
558,2
555,1
552,1
549,1
546,1
543,1
540,1
537,0
534,0
531,0
528,0
525,0
522,0
519,0
516,0
513,0
510,0
507,0
503,0
500,0
497,0
494,0
491,0
488,1
485,1
482,1
479,1
476,1
473,2
470,2
467,2
464,2
461,3
458,3
455,3
452,4
449,4
446,4
443,5
440,5
437,5
434,6
431,6
428,7
425,7
422,8
419,8
416,9
413,9
411,10
408,11
405,11
402,12
399,13
396,13
393,14
390,15
387,15
384,16
382,17
379,18
376,18
373,19
370,20
367,21
365,22
362,22
359,23
356,24
354,25
351,26
348,27
345,28
343,29
340,30
337,31
335,32
332,33
329,34
327,35
324,36
321,37
319,38
316,39
314,40
311,41
309,42
306,43
304,44
301,45
299,47
296,48
294,49
291,50
289,51
286,52
284,53
282,54
279,56
277,57
275,58
272,59
270,60
268,61
266,63
263,64
261,65
259,66
257,67
255,69
252,70
250,71
248,72
246,73
244,75
242,76
240,77
238,78
236,79
234,81
232,82
230,83
228,84
226,85
225,87
223,88
221,89
219,90
217,91
216,92
214,94
212,95
211,96
209,97
207,98
206,99
204,100
203,102
201,103
199,104
198,105
196,106
195,107
194,108
192,109
191,110
189,112
188,113
187,114
186,115
184,116
183,117
182,118
181,119
179,120
178,121
177,123
176,124
175,125
174,126
173,127
172,128
171,129
170,130
169,131
168,132
167,134
166,135
165,136
164,137
164,138
163,139
162,140
161,141
160,142
160,144
159,145
158,146
158,147
157,148
156,149
156,150
155,152
155,153
154,154
154,155
153,156
153,157
152,159
152,160
151,161
151,162
151,163
150,165
150,166
150,167
150,168
149,169
149,171
149,172
149,173
149,174
149,175
149,177
149,178
149,179
149,180
149,182
149,183
149,184
149,185
149,187
149,188
150,189
150,190
150,192
151,193
151,194
151,195
152,197
152,198
153,199
153,200
154,202
154,203
155,204
155,206
156,207
156,208
157,209
157,211
158,212
159,213
159,214
160,216
160,217
161,218
161,219
162,221
162,222
162,223
163,225
163,226
163,227
164,228
164,230
164,231
164,232
165,233
165,235
165,236
165,237
165,238
164,240
164,241
164,242
164,243
163,244
163,246
163,247
162,248
162,249
161,250
160,252
160,253
159,254
158,255
158,256
157,257
156,258
155,259
154,260
153,261
152,262
152,263
151,264
150,265
149,266
148,267
147,268
146,269
145,269
144,270
143,271
142,271
141,272
140,273
139,273
138,274
137,274
136,275
136,275
135,275
134,276
133,276
132,276
131,276
131,276
130,277
129,277
128,277
128,277
127,277
126,277
126,277
125,277
124,277
123,277
123,277
122,277
121,277
120,277
119,277
119,277
118,277
117,277
116,277
115,277
114,277
113,277
112,277
111,277
111,277
110,277
109,277
108,276
107,276
106,276
105,276
104,276
103,276
