x,y
401,1001
399,1000
396,1000
394,1000
392,999
389,999
387,998
385,998
383,997
380,997
378,996
376,995
373,995
371,994
369,993
367,993
364,992
362,991
360,990
358,990
356,989
353,988
351,987
349,986
347,985
345,984
342,983
340,982
338,981
336,980
334,979
332,978
330,977
328,976
325,975
323,974
321,973
319,971
317,970
315,969
313,968
311,966
309,965
307,964
305,963
303,961
301,960
299,959
297,957
295,956
293,955
291,953
289,952
287,951
285,949
283,948
282,946
280,945
278,943
276,942
274,940
272,939
270,937
269,936
267,934
265,933
263,931
261,930
260,928
258,927
256,925
254,924
253,922
251,920
249,919
248,917
246,916
244,914
243,913
241,911
239,909
238,908
236,906
234,905
233,903
231,901
230,900
228,898
227,896
225,895
224,893
222,892
221,890
219,888
218,887
216,885
215,884
213,882
212,880
210,879
209,877
208,876
206,874
205,872
204,871
202,869
201,868
200,866
198,865
197,863
196,862
195,860
193,858
192,857
191,855
190,854
189,852
187,851
186,849
185,848
184,846
183,845
182,843
181,841
180,840
179,838
178,837
177,835
175,834
174,832
173,831
173,829
172,828
171,826
170,824
169,823
168,821
167,820
166,818
165,817
164,815
163,813
163,812
162,810
161,809
160,807
159,805
159,804
158,802
157,800
156,799
156,797
155,795
154,794
153,792
153,790
152,789
151,787
151,785
150,784
150,782
149,780
148,778
148,777
147,775
147,773
146,771
146,769
145,767
145,766
144,764
144,762
143,760
143,758
142,756
142,754
142,752
141,750
141,749
140,747
140,745
140,743
139,741
139,738
139,736
138,734
138,732
138,730
138,728
137,726
137,724
137,722
137,719
136,717
136,715
136,713
136,711
136,708
136,706
135,704
135,702
135,699
135,697
135,695
135,692
135,690
135,688
135,685
135,683
134,681
134,678
134,676
134,674
134,671
134,669
134,666
134,664
134,662
134,659
134,657
134,654
134,652
134,650
134,647
134,645
134,643
134,640
134,638
134,635
134,633
134,631
134,628
134,626
134,624
134,621
134,619
134,617
134,614
134,612
134,610
134,607
134,605
134,603
134,600
134,598
134,596
134,594
134,591
134,589
134,587
134,585
134,583
134,580
134,578
134,576
134,574
134,572
134,570
134,568
134,566
134,564
134,562
134,560
134,558
134,556
134,554
133,552
133,550
133,548
133,547
133,545
133,543
133,541
132,539
132,538
132,536
132,534
132,533
131,531
131,530
131,528
131,527
130,525
130,524
130,522
129,521
129,519
129,518
128,517
128,515
128,514
127,513
127,512
126,511
126,509
126,508
125,507
125,506
124,505
124,504
123,503
123,502
122,500
122,499
121,498
121,497
121,496
120,495
120,494
119,493
118,492
118,491
117,490
117,489
116,488
116,487
115,486
115,485
114,484
114,483
113,482
113,481
112,480
112,479
111,478
111,477
110,475
110,474
109,473
109,472
108,471
108,470
107,468
107,467
106,466
106,465
105,463
105,462
104,461
104,459
103,458
103,456
103,455
102,453
102,452
101,450
101,449
101,447
100,445
100,444
99,442
99,440
99,439
98,437
98,435
98,433
97,431
97,430
97,428
97,426
96,424
96,422
96,420
95,418
95,416
95,414
95,412
95,410
94,408
94,406
94,404
94,402
94,400
93,398
93,396
93,394
93,392
93,390
93,388
93,386
93,383
93,381
93,379
93,377
92,375
92,373
92,371
92,368
92,366
92,364
92,362
93,360
93,358
93,356
93,353
93,351
93,349
93,347
93,345
93,343
93,341
94,338
94,336
94,334
94,332
94,330
95,328
95,326
95,324
95,322
96,320
96,318
96,315
97,313
97,311
97,309
98,307
98,306
98,304
99,302
99,300
100,298
100,296
100,294
101,292
101,290
102,288
102,287
103,285
103,283
104,281
105,280
105,278
106,276
106,275
107,273
107,271
108,270
109,268
109,267
110,265
110,264
111,262
111,261
112,259
113,258
113,256
114,255
114,254
115,252
115,251
116,250
116,249
116,247
117,246
