x,y
920,1486
918,1487
915,1487
913,1487
911,1487
909,1487
907,1487
905,1487
902,1487
900,1487
898,1488
895,1488
893,1488
891,1488
888,1487
886,1487
884,1487
881,1487
879,1487
876,1487
874,1487
872,1487
869,1487
867,1486
864,1486
862,1486
859,1486
856,1486
854,1485
851,1485
849,1485
846,1484
844,1484
841,1484
838,1483
836,1483
833,1483
830,1482
828,1482
825,1482
823,1481
820,1481
817,1480
814,1480
812,1479
809,1479
806,1478
804,1478
801,1477
798,1477
796,1476
793,1476
790,1475
787,1475
785,1474
782,1473
779,1473
777,1472
774,1472
771,1471
768,1470
766,1470
763,1469
760,1468
758,1468
755,1467
752,1466
749,1466
747,1465
744,1464
741,1464
739,1463
736,1462
733,1461
731,1461
728,1460
725,1459
723,1458
720,1458
717,1457
715,1456
712,1455
710,1455
707,1454
705,1453
702,1452
699,1451
697,1451
694,1450
692,1449
689,1448
687,1447
684,1446
682,1446
679,1445
677,1444
675,1443
672,1442
670,1442
667,1441
665,1440
663,1439
660,1438
658,1437
656,1436
654,1436
651,1435
649,1434
647,1433
645,1432
643,1431
641,1430
638,1430
636,1429
634,1428
632,1427
630,1426
628,1425
626,1425
624,1424
622,1423
620,1422
619,1421
617,1420
615,1420
613,1419
611,1418
610,1417
608,1416
606,1415
605,1415
603,1414
601,1413
600,1412
598,1411
597,1411
595,1410
594,1409
592,1408
591,1407
589,1406
588,1406
586,1405
585,1404
584,1403
582,1402
581,1402
579,1401
578,1400
577,1399
576,1398
574,1397
573,1397
572,1396
571,1395
569,1394
568,1393
567,1392
566,1391
565,1391
564,1390
562,1389
561,1388
560,1387
559,1386
558,1385
557,1384
556,1383
555,1382
554,1382
552,1381
551,1380
550,1379
549,1378
548,1377
547,1376
546,1375
545,1374
544,1373
543,1372
542,1371
541,1370
540,1369
539,1368
538,1367
537,1366
536,1364
535,1363
533,1362
532,1361
531,1360
530,1359
529,1358
528,1357
527,1355
526,1354
525,1353
524,1352
523,1351
522,1349
520,1348
519,1347
518,1346
517,1344
516,1343
515,1342
514,1340
512,1339
511,1338
510,1336
509,1335
508,1334
506,1332
505,1331
504,1329
503,1328
501,1326
500,1325
499,1323
498,1322
496,1320
495,1319
494,1317
493,1316
491,1314
490,1313
489,1311
487,1310
486,1308
485,1306
484,1305
482,1303
481,1302
480,1300
478,1298
477,1297
476,1295
474,1293
473,1292
472,1290
471,1288
469,1287
468,1285
