x,y
435,928
434,928
432,928
430,928
428,927
427,927
424,927
422,926
420,926
418,926
416,925
413,925
411,924
409,924
406,923
404,923
402,922
400,922
397,921
395,921
393,921
391,920
389,920
387,920
385,920
383,920
382,921
380,921
379,921
378,922
377,923
376,923
375,924
374,925
374,926
373,927
373,928
372,929
371,931
371,932
370,933
370,933
369,934
368,935
367,935
366,936
365,936
364,936
362,936
361,936
359,935
357,935
355,934
353,933
351,932
348,931
346,930
344,929
341,928
339,927
337,926
334,924
332,923
330,922
328,921
325,920
323,919
321,918
319,917
318,916
316,916
314,915
313,915
312,915
311,915
310,915
309,915
309,916
308,917
308,917
308,919
308,920
309,921
309,922
309,924
310,926
310,927
311,929
311,931
312,932
312,934
312,936
313,938
313,939
313,941
313,942
312,944
312,945
312,946
311,948
310,949
309,949
308,950
306,951
305,952
304,952
302,952
300,953
299,953
297,953
295,953
293,952
291,952
289,952
287,951
285,950
283,950
281,949
279,948
276,947
274,945
272,944
270,942
268,941
266,939
264,937
263,935
261,933
259,931
257,929
255,927
253,924
252,922
250,920
248,917
247,915
245,912
243,909
242,907
240,904
238,901
237,898
235,896
234,893
232,890
231,887
229,884
228,881
226,879
225,876
223,873
222,870
221,867
219,865
218,862
217,859
215,857
214,854
213,852
211,849
210,847
209,845
208,843
207,840
205,838
204,836
203,834
202,833
200,831
199,829
198,828
197,826
196,824
194,823
193,822
192,820
190,819
189,818
188,817
186,815
185,814
183,813
182,812
180,811
178,810
177,809
175,808
173,808
171,807
169,806
167,805
165,804
163,803
161,803
158,802
156,801
153,800
151,800
148,799
146,798
143,798
141,797
138,796
136,795
133,795
130,794
128,793
125,793
123,792
120,791
118,790
116,790
113,789
111,788
109,787
107,786
105,786
103,785
102,784
100,783
99,782
97,781
96,781
95,780
94,779
93,778
93,777
92,776
92,775
92,773
91,772
91,771
92,770
92,769
92,767
92,766
92,765
93,763
93,762
93,760
93,758
94,757
94,755
94,753
94,751
94,749
93,747
93,745
93,743
92,741
91,739
91,736
90,734
89,732
88,729
87,727
86,725
85,723
84,721
83,719
82,717
80,715
79,714
78,712
77,711
76,710
75,709
74,708
73,708
72,708
71,707
70,708
69,708
69,709
68,710
68,711
67,712
67,714
66,716
66,718
66,720
65,722
65,724
65,726
65,729
65,731
64,733
64,735
64,738
64,740
64,742
63,744
63,746
63,747
62,749
62,750
61,751
61,752
60,752
59,752
59,752
58,752
57,752
56,751
55,750
54,748
53,747
52,745
51,744
49,742
48,739
47,737
46,734
45,732
43,729
42,726
41,723
39,720
